nama citra , contrast(0) , contrast(45) , contrast(90) , contrast(135) , dissimilarity(0) , dissimilarity(45) , dissimilarity(90) , dissimilarity(135) , homogeneity(0) , homogeneity(45) , homogeneity(90) , homogeneity(135) , energy(0) , energy(45) , energy(90) , energy(135) , correlation(0) , correlation(45) , correlation(90) , correlation(135) , ASM(0) , ASM(45) , ASM(90) , ASM(135) , label
Copy of Tm131.png , 22220.1591 , 25941.0009 , 22679.9318 , 22220.1591 , 87.1379 , 101.7294 , 88.9409 , 87.1379 , 0.6583 , 0.6011 , 0.6512 , 0.6583 , 0.6145 , 0.6012 , 0.6125 , 0.6145 , 0.1403 , -0.0005 , 0.1231 , 0.1403 , 0.3776 , 0.3615 , 0.3751 , 0.3776 , mentah
Copy of Tm132.png , 22220.1591 , 25941.0009 , 22679.9318 , 22220.1591 , 87.1379 , 101.7294 , 88.9409 , 87.1379 , 0.6583 , 0.6011 , 0.6512 , 0.6583 , 0.6145 , 0.6012 , 0.6125 , 0.6145 , 0.1403 , -0.0005 , 0.1231 , 0.1403 , 0.3776 , 0.3615 , 0.3751 , 0.3776 , mentah
Copy of Tm133.png , 23251.3636 , 28375.8724 , 25714.4318 , 23251.3636 , 91.1818 , 111.2779 , 100.8409 , 91.1818 , 0.6424 , 0.5636 , 0.6046 , 0.6424 , 0.5949 , 0.5799 , 0.5862 , 0.5949 , 0.1413 , -0.0445 , 0.0523 , 0.1413 , 0.3539 , 0.3362 , 0.3437 , 0.3539 , mentah
Copy of Tm134.png , 23251.3636 , 28375.8724 , 25714.4318 , 23251.3636 , 91.1818 , 111.2779 , 100.8409 , 91.1818 , 0.6424 , 0.5636 , 0.6046 , 0.6424 , 0.5949 , 0.5799 , 0.5862 , 0.5949 , 0.1413 , -0.0445 , 0.0523 , 0.1413 , 0.3539 , 0.3362 , 0.3437 , 0.3539 , mentah
Copy of Tm135.png , 23251.3636 , 28375.8724 , 25714.4318 , 23251.3636 , 91.1818 , 111.2779 , 100.8409 , 91.1818 , 0.6424 , 0.5636 , 0.6046 , 0.6424 , 0.5949 , 0.5799 , 0.5862 , 0.5949 , 0.1413 , -0.0445 , 0.0523 , 0.1413 , 0.3539 , 0.3362 , 0.3437 , 0.3539 , mentah
Copy of Tm136.png , 22982.0682 , 28515.1974 , 25346.6136 , 22982.0682 , 90.1258 , 111.8243 , 99.3985 , 90.1258 , 0.6466 , 0.5615 , 0.6102 , 0.6466 , 0.597 , 0.5805 , 0.5883 , 0.597 , 0.1486 , -0.052 , 0.0631 , 0.1486 , 0.3564 , 0.3369 , 0.3461 , 0.3564 , mentah
Copy of Tm137.png , 22982.0682 , 28515.1974 , 25346.6136 , 22982.0682 , 90.1258 , 111.8243 , 99.3985 , 90.1258 , 0.6466 , 0.5615 , 0.6102 , 0.6466 , 0.597 , 0.5805 , 0.5883 , 0.597 , 0.1486 , -0.052 , 0.0631 , 0.1486 , 0.3564 , 0.3369 , 0.3461 , 0.3564 , mentah
Copy of Tm138.png , 22982.0682 , 28515.1974 , 25346.6136 , 22982.0682 , 90.1258 , 111.8243 , 99.3985 , 90.1258 , 0.6466 , 0.5615 , 0.6102 , 0.6466 , 0.597 , 0.5805 , 0.5883 , 0.597 , 0.1486 , -0.052 , 0.0631 , 0.1486 , 0.3564 , 0.3369 , 0.3461 , 0.3564 , mentah
Copy of Tm139.png , 23901.6136 , 27612.9017 , 23284.2045 , 23901.6136 , 93.7318 , 108.2859 , 91.3106 , 93.7318 , 0.6324 , 0.5754 , 0.6419 , 0.6324 , 0.5967 , 0.5854 , 0.5989 , 0.5967 , 0.1067 , -0.0283 , 0.1296 , 0.1067 , 0.356 , 0.3427 , 0.3587 , 0.356 , mentah
Copy of Tm14.png , 21786.6591 , 25257.6446 , 22725.9091 , 21786.6591 , 85.4379 , 99.0496 , 89.1212 , 85.4379 , 0.665 , 0.6116 , 0.6505 , 0.665 , 0.6173 , 0.6041 , 0.6135 , 0.6173 , 0.1543 , 0.0228 , 0.1182 , 0.1543 , 0.381 , 0.365 , 0.3763 , 0.381 , mentah
Copy of Tm140.png , 23901.6136 , 27612.9017 , 23284.2045 , 23901.6136 , 93.7318 , 108.2859 , 91.3106 , 93.7318 , 0.6324 , 0.5754 , 0.6419 , 0.6324 , 0.5967 , 0.5854 , 0.5989 , 0.5967 , 0.1067 , -0.0283 , 0.1296 , 0.1067 , 0.356 , 0.3427 , 0.3587 , 0.356 , mentah
Copy of Tm146.png , 24722.6364 , 27884.9174 , 23691.4318 , 24722.6364 , 96.9515 , 109.3526 , 92.9076 , 96.9515 , 0.6198 , 0.5712 , 0.6357 , 0.6198 , 0.5928 , 0.5834 , 0.5958 , 0.5928 , 0.0792 , -0.0341 , 0.1188 , 0.0792 , 0.3515 , 0.3404 , 0.355 , 0.3515 , mentah
Copy of Tm147.png , 24722.6364 , 27884.9174 , 23691.4318 , 24722.6364 , 96.9515 , 109.3526 , 92.9076 , 96.9515 , 0.6198 , 0.5712 , 0.6357 , 0.6198 , 0.5928 , 0.5834 , 0.5958 , 0.5928 , 0.0792 , -0.0341 , 0.1188 , 0.0792 , 0.3515 , 0.3404 , 0.355 , 0.3515 , mentah
Copy of Tm148.png , 23093.7273 , 27427.135 , 24407.3636 , 23093.7273 , 90.5636 , 107.5574 , 95.7152 , 90.5636 , 0.6449 , 0.5782 , 0.6247 , 0.6449 , 0.6001 , 0.586 , 0.5948 , 0.6001 , 0.1356 , -0.022 , 0.0885 , 0.1356 , 0.3601 , 0.3434 , 0.3537 , 0.3601 , mentah
Copy of Tm149.png , 23093.7273 , 27427.135 , 24407.3636 , 23093.7273 , 90.5636 , 107.5574 , 95.7152 , 90.5636 , 0.6449 , 0.5782 , 0.6247 , 0.6449 , 0.6001 , 0.586 , 0.5948 , 0.6001 , 0.1356 , -0.022 , 0.0885 , 0.1356 , 0.3601 , 0.3434 , 0.3537 , 0.3601 , mentah
Copy of Tm15.png , 21786.6591 , 25257.6446 , 22725.9091 , 21786.6591 , 85.4379 , 99.0496 , 89.1212 , 85.4379 , 0.665 , 0.6116 , 0.6505 , 0.665 , 0.6173 , 0.6041 , 0.6135 , 0.6173 , 0.1543 , 0.0228 , 0.1182 , 0.1543 , 0.381 , 0.365 , 0.3763 , 0.381 , mentah
Copy of Tm150.png , 23093.7273 , 27427.135 , 24407.3636 , 23093.7273 , 90.5636 , 107.5574 , 95.7152 , 90.5636 , 0.6449 , 0.5782 , 0.6247 , 0.6449 , 0.6001 , 0.586 , 0.5948 , 0.6001 , 0.1356 , -0.022 , 0.0885 , 0.1356 , 0.3601 , 0.3434 , 0.3537 , 0.3601 , mentah
Copy of Tm16.png , 24926.25 , 30074.3113 , 27441.8636 , 24926.25 , 97.75 , 117.9385 , 107.6152 , 97.75 , 0.6167 , 0.5375 , 0.578 , 0.6167 , 0.5707 , 0.5591 , 0.5639 , 0.5707 , 0.1246 , -0.0541 , 0.0367 , 0.1246 , 0.3257 , 0.3126 , 0.318 , 0.3257 , mentah
Copy of Tm17.png , 24926.25 , 30074.3113 , 27441.8636 , 24926.25 , 97.75 , 117.9385 , 107.6152 , 97.75 , 0.6167 , 0.5375 , 0.578 , 0.6167 , 0.5707 , 0.5591 , 0.5639 , 0.5707 , 0.1246 , -0.0541 , 0.0367 , 0.1246 , 0.3257 , 0.3126 , 0.318 , 0.3257 , mentah
Copy of Tm18.png , 24926.25 , 30074.3113 , 27441.8636 , 24926.25 , 97.75 , 117.9385 , 107.6152 , 97.75 , 0.6167 , 0.5375 , 0.578 , 0.6167 , 0.5707 , 0.5591 , 0.5639 , 0.5707 , 0.1246 , -0.0541 , 0.0367 , 0.1246 , 0.3257 , 0.3126 , 0.318 , 0.3257 , mentah
Copy of Tm19.png , 22482.8864 , 26989.2562 , 24400.7955 , 22482.8864 , 88.1682 , 105.8402 , 95.6894 , 88.1682 , 0.6542 , 0.5849 , 0.6248 , 0.6542 , 0.6016 , 0.5869 , 0.5947 , 0.6016 , 0.1605 , -0.0057 , 0.0888 , 0.1605 , 0.3619 , 0.3445 , 0.3537 , 0.3619 , mentah
Copy of Tm2.png , 25747.2727 , 31023.0487 , 28584.7273 , 25747.2727 , 100.9697 , 121.659 , 112.097 , 100.9697 , 0.604 , 0.5229 , 0.5604 , 0.604 , 0.5619 , 0.5512 , 0.5545 , 0.5619 , 0.1104 , -0.0681 , 0.0148 , 0.1104 , 0.3157 , 0.3039 , 0.3075 , 0.3157 , mentah
Copy of Tm20.png , 22482.8864 , 26989.2562 , 24400.7955 , 22482.8864 , 88.1682 , 105.8402 , 95.6894 , 88.1682 , 0.6542 , 0.5849 , 0.6248 , 0.6542 , 0.6016 , 0.5869 , 0.5947 , 0.6016 , 0.1605 , -0.0057 , 0.0888 , 0.1605 , 0.3619 , 0.3445 , 0.3537 , 0.3619 , mentah
Copy of Tm3.png , 25747.2727 , 31023.0487 , 28584.7273 , 25747.2727 , 100.9697 , 121.659 , 112.097 , 100.9697 , 0.604 , 0.5229 , 0.5604 , 0.604 , 0.5619 , 0.5512 , 0.5545 , 0.5619 , 0.1104 , -0.0681 , 0.0148 , 0.1104 , 0.3157 , 0.3039 , 0.3075 , 0.3157 , mentah
Copy of Tm31.png , 18745.5909 , 21456.0606 , 17983.6818 , 18745.5909 , 73.5121 , 84.1414 , 70.5242 , 73.5121 , 0.7117 , 0.67 , 0.7234 , 0.7117 , 0.6634 , 0.6509 , 0.6675 , 0.6634 , 0.1874 , 0.0712 , 0.2197 , 0.1874 , 0.4401 , 0.4236 , 0.4455 , 0.4401 , mentah
Copy of Tm32.png , 18745.5909 , 21456.0606 , 17983.6818 , 18745.5909 , 73.5121 , 84.1414 , 70.5242 , 73.5121 , 0.7117 , 0.67 , 0.7234 , 0.7117 , 0.6634 , 0.6509 , 0.6675 , 0.6634 , 0.1874 , 0.0712 , 0.2197 , 0.1874 , 0.4401 , 0.4236 , 0.4455 , 0.4401 , mentah
Copy of Tm33.png , 18745.5909 , 21456.0606 , 17983.6818 , 18745.5909 , 73.5121 , 84.1414 , 70.5242 , 73.5121 , 0.7117 , 0.67 , 0.7234 , 0.7117 , 0.6634 , 0.6509 , 0.6675 , 0.6634 , 0.1874 , 0.0712 , 0.2197 , 0.1874 , 0.4401 , 0.4236 , 0.4455 , 0.4401 , mentah
Copy of Tm34.png , 23185.6818 , 25828.214 , 21629.0227 , 23185.6818 , 90.9242 , 101.2871 , 84.8197 , 90.9242 , 0.6434 , 0.6028 , 0.6674 , 0.6434 , 0.6119 , 0.6021 , 0.6178 , 0.6119 , 0.0999 , 0.0021 , 0.1608 , 0.0999 , 0.3744 , 0.3625 , 0.3816 , 0.3744 , mentah
Copy of Tm35.png , 23185.6818 , 25828.214 , 21629.0227 , 23185.6818 , 90.9242 , 101.2871 , 84.8197 , 90.9242 , 0.6434 , 0.6028 , 0.6674 , 0.6434 , 0.6119 , 0.6021 , 0.6178 , 0.6119 , 0.0999 , 0.0021 , 0.1608 , 0.0999 , 0.3744 , 0.3625 , 0.3816 , 0.3744 , mentah
Copy of Tm36.png , 23185.6818 , 25828.214 , 21629.0227 , 23185.6818 , 90.9242 , 101.2871 , 84.8197 , 90.9242 , 0.6434 , 0.6028 , 0.6674 , 0.6434 , 0.6119 , 0.6021 , 0.6178 , 0.6119 , 0.0999 , 0.0021 , 0.1608 , 0.0999 , 0.3744 , 0.3625 , 0.3816 , 0.3744 , mentah
Copy of Tm37.png , 23566.6364 , 26909.6419 , 22134.7727 , 23566.6364 , 92.4182 , 105.528 , 86.803 , 92.4182 , 0.6376 , 0.5862 , 0.6596 , 0.6376 , 0.6056 , 0.5945 , 0.6107 , 0.6056 , 0.0987 , -0.0244 , 0.1542 , 0.0987 , 0.3668 , 0.3534 , 0.373 , 0.3668 , mentah
Copy of Tm38.png , 23566.6364 , 26909.6419 , 22134.7727 , 23566.6364 , 92.4182 , 105.528 , 86.803 , 92.4182 , 0.6376 , 0.5862 , 0.6596 , 0.6376 , 0.6056 , 0.5945 , 0.6107 , 0.6056 , 0.0987 , -0.0244 , 0.1542 , 0.0987 , 0.3668 , 0.3534 , 0.373 , 0.3668 , mentah
Copy of Tm39.png , 23566.6364 , 26909.6419 , 22134.7727 , 23566.6364 , 92.4182 , 105.528 , 86.803 , 92.4182 , 0.6376 , 0.5862 , 0.6596 , 0.6376 , 0.6056 , 0.5945 , 0.6107 , 0.6056 , 0.0987 , -0.0244 , 0.1542 , 0.0987 , 0.3668 , 0.3534 , 0.373 , 0.3668 , mentah
Copy of Tm4.png , 27973.8864 , 32781.1983 , 27402.4545 , 27973.8864 , 109.7015 , 128.5537 , 107.4606 , 109.7015 , 0.5698 , 0.4959 , 0.5786 , 0.5698 , 0.5509 , 0.5456 , 0.5513 , 0.5509 , 0.0469 , -0.1145 , 0.0683 , 0.0469 , 0.3035 , 0.2977 , 0.3039 , 0.3035 , mentah
Copy of Tm40.png , 25123.2955 , 30485.652 , 26049.4091 , 25123.2955 , 98.5227 , 119.5516 , 102.1545 , 98.5227 , 0.6136 , 0.5312 , 0.5994 , 0.6136 , 0.5762 , 0.5644 , 0.5729 , 0.5762 , 0.1033 , -0.0841 , 0.0719 , 0.1033 , 0.332 , 0.3185 , 0.3282 , 0.332 , mentah
Copy of Tm41.png , 25123.2955 , 30485.652 , 26049.4091 , 25123.2955 , 98.5227 , 119.5516 , 102.1545 , 98.5227 , 0.6136 , 0.5312 , 0.5994 , 0.6136 , 0.5762 , 0.5644 , 0.5729 , 0.5762 , 0.1033 , -0.0841 , 0.0719 , 0.1033 , 0.332 , 0.3185 , 0.3282 , 0.332 , mentah
Copy of Tm42.png , 25123.2955 , 30485.652 , 26049.4091 , 25123.2955 , 98.5227 , 119.5516 , 102.1545 , 98.5227 , 0.6136 , 0.5312 , 0.5994 , 0.6136 , 0.5762 , 0.5644 , 0.5729 , 0.5762 , 0.1033 , -0.0841 , 0.0719 , 0.1033 , 0.332 , 0.3185 , 0.3282 , 0.332 , mentah
Copy of Tm43.png , 24177.4773 , 27002.5253 , 22075.6591 , 24177.4773 , 94.8136 , 105.8923 , 86.5712 , 94.8136 , 0.6282 , 0.5847 , 0.6605 , 0.6282 , 0.6012 , 0.592 , 0.6087 , 0.6012 , 0.082 , -0.021 , 0.1621 , 0.082 , 0.3614 , 0.3504 , 0.3706 , 0.3614 , mentah
Copy of Tm44.png , 24177.4773 , 27002.5253 , 22075.6591 , 24177.4773 , 94.8136 , 105.8923 , 86.5712 , 94.8136 , 0.6282 , 0.5847 , 0.6605 , 0.6282 , 0.6012 , 0.592 , 0.6087 , 0.6012 , 0.082 , -0.021 , 0.1621 , 0.082 , 0.3614 , 0.3504 , 0.3706 , 0.3614 , mentah
Copy of Tm45.png , 24177.4773 , 27002.5253 , 22075.6591 , 24177.4773 , 94.8136 , 105.8923 , 86.5712 , 94.8136 , 0.6282 , 0.5847 , 0.6605 , 0.6282 , 0.6012 , 0.592 , 0.6087 , 0.6012 , 0.082 , -0.021 , 0.1621 , 0.082 , 0.3614 , 0.3504 , 0.3706 , 0.3614 , mentah
Copy of Tm46.png , 23678.2955 , 29371.0514 , 26706.2273 , 23678.2955 , 92.8561 , 115.1806 , 104.7303 , 92.8561 , 0.6359 , 0.5483 , 0.5893 , 0.6359 , 0.5828 , 0.5671 , 0.5729 , 0.5828 , 0.1509 , -0.0487 , 0.0444 , 0.1509 , 0.3396 , 0.3216 , 0.3282 , 0.3396 , mentah
Copy of Tm47.png , 23678.2955 , 29371.0514 , 26706.2273 , 23678.2955 , 92.8561 , 115.1806 , 104.7303 , 92.8561 , 0.6359 , 0.5483 , 0.5893 , 0.6359 , 0.5828 , 0.5671 , 0.5729 , 0.5828 , 0.1509 , -0.0487 , 0.0444 , 0.1509 , 0.3396 , 0.3216 , 0.3282 , 0.3396 , mentah
Copy of Tm48.png , 23678.2955 , 29371.0514 , 26706.2273 , 23678.2955 , 92.8561 , 115.1806 , 104.7303 , 92.8561 , 0.6359 , 0.5483 , 0.5893 , 0.6359 , 0.5828 , 0.5671 , 0.5729 , 0.5828 , 0.1509 , -0.0487 , 0.0444 , 0.1509 , 0.3396 , 0.3216 , 0.3282 , 0.3396 , mentah
Copy of Tm49.png , 22029.6818 , 24687.0753 , 20762.0227 , 22029.6818 , 86.3909 , 96.8121 , 81.4197 , 86.3909 , 0.6612 , 0.6204 , 0.6807 , 0.6612 , 0.6269 , 0.6162 , 0.632 , 0.6269 , 0.1155 , 0.0134 , 0.167 , 0.1155 , 0.3929 , 0.3797 , 0.3994 , 0.3929 , mentah
Copy of Tm5.png , 27973.8864 , 32781.1983 , 27402.4545 , 27973.8864 , 109.7015 , 128.5537 , 107.4606 , 109.7015 , 0.5698 , 0.4959 , 0.5786 , 0.5698 , 0.5509 , 0.5456 , 0.5513 , 0.5509 , 0.0469 , -0.1145 , 0.0683 , 0.0469 , 0.3035 , 0.2977 , 0.3039 , 0.3035 , mentah
Copy of Tm50.png , 22029.6818 , 24687.0753 , 20762.0227 , 22029.6818 , 86.3909 , 96.8121 , 81.4197 , 86.3909 , 0.6612 , 0.6204 , 0.6807 , 0.6612 , 0.6269 , 0.6162 , 0.632 , 0.6269 , 0.1155 , 0.0134 , 0.167 , 0.1155 , 0.3929 , 0.3797 , 0.3994 , 0.3929 , mentah
Copy of Tm51.png , 22029.6818 , 24687.0753 , 20762.0227 , 22029.6818 , 86.3909 , 96.8121 , 81.4197 , 86.3909 , 0.6612 , 0.6204 , 0.6807 , 0.6612 , 0.6269 , 0.6162 , 0.632 , 0.6269 , 0.1155 , 0.0134 , 0.167 , 0.1155 , 0.3929 , 0.3797 , 0.3994 , 0.3929 , mentah
Copy of Tm52.png , 21747.25 , 27599.6327 , 25215.25 , 21747.25 , 85.2833 , 108.2339 , 98.8833 , 85.2833 , 0.6656 , 0.5756 , 0.6122 , 0.6656 , 0.6046 , 0.585 , 0.5917 , 0.6046 , 0.1881 , -0.0265 , 0.0598 , 0.1881 , 0.3655 , 0.3422 , 0.3502 , 0.3655 , mentah
Copy of Tm53.png , 21747.25 , 27599.6327 , 25215.25 , 21747.25 , 85.2833 , 108.2339 , 98.8833 , 85.2833 , 0.6656 , 0.5756 , 0.6122 , 0.6656 , 0.6046 , 0.585 , 0.5917 , 0.6046 , 0.1881 , -0.0265 , 0.0598 , 0.1881 , 0.3655 , 0.3422 , 0.3502 , 0.3655 , mentah
Copy of Tm54.png , 21747.25 , 27599.6327 , 25215.25 , 21747.25 , 85.2833 , 108.2339 , 98.8833 , 85.2833 , 0.6656 , 0.5756 , 0.6122 , 0.6656 , 0.6046 , 0.585 , 0.5917 , 0.6046 , 0.1881 , -0.0265 , 0.0598 , 0.1881 , 0.3655 , 0.3422 , 0.3502 , 0.3655 , mentah
Copy of Tm55.png , 21891.75 , 27732.3232 , 24847.4318 , 21891.75 , 85.85 , 108.7542 , 97.4409 , 85.85 , 0.6633 , 0.5735 , 0.6179 , 0.6633 , 0.6046 , 0.5857 , 0.5936 , 0.6046 , 0.1812 , -0.0342 , 0.0714 , 0.1812 , 0.3655 , 0.343 , 0.3524 , 0.3655 , mentah
Copy of Tm56.png , 21891.75 , 27732.3232 , 24847.4318 , 21891.75 , 85.85 , 108.7542 , 97.4409 , 85.85 , 0.6633 , 0.5735 , 0.6179 , 0.6633 , 0.6046 , 0.5857 , 0.5936 , 0.6046 , 0.1812 , -0.0342 , 0.0714 , 0.1812 , 0.3655 , 0.343 , 0.3524 , 0.3655 , mentah
Copy of Tm57.png , 21891.75 , 27732.3232 , 24847.4318 , 21891.75 , 85.85 , 108.7542 , 97.4409 , 85.85 , 0.6633 , 0.5735 , 0.6179 , 0.6633 , 0.6046 , 0.5857 , 0.5936 , 0.6046 , 0.1812 , -0.0342 , 0.0714 , 0.1812 , 0.3655 , 0.343 , 0.3524 , 0.3655 , mentah
Copy of Tm58.png , 21753.8182 , 26624.3572 , 24676.6591 , 21753.8182 , 85.3091 , 104.4092 , 96.7712 , 85.3091 , 0.6655 , 0.5906 , 0.6205 , 0.6655 , 0.6114 , 0.5941 , 0.6005 , 0.6114 , 0.171 , -0.0103 , 0.0605 , 0.171 , 0.3738 , 0.3529 , 0.3606 , 0.3738 , mentah
Copy of Tm59.png , 21753.8182 , 26624.3572 , 24676.6591 , 21753.8182 , 85.3091 , 104.4092 , 96.7712 , 85.3091 , 0.6655 , 0.5906 , 0.6205 , 0.6655 , 0.6114 , 0.5941 , 0.6005 , 0.6114 , 0.171 , -0.0103 , 0.0605 , 0.171 , 0.3738 , 0.3529 , 0.3606 , 0.3738 , mentah
Copy of Tm6.png , 27973.8864 , 32781.1983 , 27402.4545 , 27973.8864 , 109.7015 , 128.5537 , 107.4606 , 109.7015 , 0.5698 , 0.4959 , 0.5786 , 0.5698 , 0.5509 , 0.5456 , 0.5513 , 0.5509 , 0.0469 , -0.1145 , 0.0683 , 0.0469 , 0.3035 , 0.2977 , 0.3039 , 0.3035 , mentah
Copy of Tm60.png , 21753.8182 , 26624.3572 , 24676.6591 , 21753.8182 , 85.3091 , 104.4092 , 96.7712 , 85.3091 , 0.6655 , 0.5906 , 0.6205 , 0.6655 , 0.6114 , 0.5941 , 0.6005 , 0.6114 , 0.171 , -0.0103 , 0.0605 , 0.171 , 0.3738 , 0.3529 , 0.3606 , 0.3738 , mentah
Copy of Tm61.png , 19934.4318 , 24176.2167 , 21760.3864 , 19934.4318 , 78.1742 , 94.8087 , 85.3348 , 78.1742 , 0.6934 , 0.6282 , 0.6654 , 0.6934 , 0.6386 , 0.6207 , 0.6302 , 0.6386 , 0.1923 , 0.0245 , 0.1197 , 0.1923 , 0.4079 , 0.3853 , 0.3972 , 0.4079 , mentah
Copy of Tm62.png , 19934.4318 , 24176.2167 , 21760.3864 , 19934.4318 , 78.1742 , 94.8087 , 85.3348 , 78.1742 , 0.6934 , 0.6282 , 0.6654 , 0.6934 , 0.6386 , 0.6207 , 0.6302 , 0.6386 , 0.1923 , 0.0245 , 0.1197 , 0.1923 , 0.4079 , 0.3853 , 0.3972 , 0.4079 , mentah
Copy of Tm63.png , 19934.4318 , 24176.2167 , 21760.3864 , 19934.4318 , 78.1742 , 94.8087 , 85.3348 , 78.1742 , 0.6934 , 0.6282 , 0.6654 , 0.6934 , 0.6386 , 0.6207 , 0.6302 , 0.6386 , 0.1923 , 0.0245 , 0.1197 , 0.1923 , 0.4079 , 0.3853 , 0.3972 , 0.4079 , mentah
Copy of Tm64.png , 23034.6136 , 28329.4307 , 25254.6591 , 23034.6136 , 90.3318 , 111.0958 , 99.0379 , 90.3318 , 0.6458 , 0.5643 , 0.6116 , 0.6458 , 0.5959 , 0.5798 , 0.5879 , 0.5959 , 0.1489 , -0.0423 , 0.0681 , 0.1489 , 0.355 , 0.3361 , 0.3457 , 0.355 , mentah
Copy of Tm65.png , 23034.6136 , 28329.4307 , 25254.6591 , 23034.6136 , 90.3318 , 111.0958 , 99.0379 , 90.3318 , 0.6458 , 0.5643 , 0.6116 , 0.6458 , 0.5959 , 0.5798 , 0.5879 , 0.5959 , 0.1489 , -0.0423 , 0.0681 , 0.1489 , 0.355 , 0.3361 , 0.3457 , 0.355 , mentah
Copy of Tm7.png , 20578.1136 , 25396.9697 , 22771.8864 , 20578.1136 , 80.6985 , 99.596 , 89.3015 , 80.6985 , 0.6835 , 0.6094 , 0.6498 , 0.6835 , 0.628 , 0.6094 , 0.6192 , 0.628 , 0.1872 , 0.0 , 0.0999 , 0.1872 , 0.3943 , 0.3714 , 0.3834 , 0.3943 , mentah
Copy of Tm71.png , 23330.1818 , 27851.7447 , 26285.8636 , 23330.1818 , 91.4909 , 109.2225 , 103.0818 , 91.4909 , 0.6412 , 0.5717 , 0.5958 , 0.6412 , 0.5975 , 0.5829 , 0.5865 , 0.5975 , 0.1312 , -0.0311 , 0.0263 , 0.1312 , 0.357 , 0.3397 , 0.344 , 0.357 , mentah
Copy of Tm72.png , 23330.1818 , 27851.7447 , 26285.8636 , 23330.1818 , 91.4909 , 109.2225 , 103.0818 , 91.4909 , 0.6412 , 0.5717 , 0.5958 , 0.6412 , 0.5975 , 0.5829 , 0.5865 , 0.5975 , 0.1312 , -0.0311 , 0.0263 , 0.1312 , 0.357 , 0.3397 , 0.344 , 0.357 , mentah
Copy of Tm73.png , 24683.2273 , 28906.6345 , 25386.0227 , 24683.2273 , 96.797 , 113.3594 , 99.553 , 96.797 , 0.6204 , 0.5555 , 0.6096 , 0.6204 , 0.5813 , 0.5701 , 0.5789 , 0.5813 , 0.1103 , -0.0385 , 0.0855 , 0.1103 , 0.3379 , 0.325 , 0.3351 , 0.3379 , mentah
Copy of Tm74.png , 24683.2273 , 28906.6345 , 25386.0227 , 24683.2273 , 96.797 , 113.3594 , 99.553 , 96.797 , 0.6204 , 0.5555 , 0.6096 , 0.6204 , 0.5813 , 0.5701 , 0.5789 , 0.5813 , 0.1103 , -0.0385 , 0.0855 , 0.1103 , 0.3379 , 0.325 , 0.3351 , 0.3379 , mentah
Copy of Tm75.png , 24683.2273 , 28906.6345 , 25386.0227 , 24683.2273 , 96.797 , 113.3594 , 99.553 , 96.797 , 0.6204 , 0.5555 , 0.6096 , 0.6204 , 0.5813 , 0.5701 , 0.5789 , 0.5813 , 0.1103 , -0.0385 , 0.0855 , 0.1103 , 0.3379 , 0.325 , 0.3351 , 0.3379 , mentah
Copy of Tm76.png , 23612.6136 , 28030.877 , 24959.0909 , 23612.6136 , 92.5985 , 109.925 , 97.8788 , 92.5985 , 0.6369 , 0.5689 , 0.6162 , 0.6369 , 0.5934 , 0.5799 , 0.5886 , 0.5934 , 0.1284 , -0.0302 , 0.0797 , 0.1284 , 0.3521 , 0.3363 , 0.3464 , 0.3521 , mentah
Copy of Tm77.png , 23612.6136 , 28030.877 , 24959.0909 , 23612.6136 , 92.5985 , 109.925 , 97.8788 , 92.5985 , 0.6369 , 0.5689 , 0.6162 , 0.6369 , 0.5934 , 0.5799 , 0.5886 , 0.5934 , 0.1284 , -0.0302 , 0.0797 , 0.1284 , 0.3521 , 0.3363 , 0.3464 , 0.3521 , mentah
Copy of Tm78.png , 23612.6136 , 28030.877 , 24959.0909 , 23612.6136 , 92.5985 , 109.925 , 97.8788 , 92.5985 , 0.6369 , 0.5689 , 0.6162 , 0.6369 , 0.5934 , 0.5799 , 0.5886 , 0.5934 , 0.1284 , -0.0302 , 0.0797 , 0.1284 , 0.3521 , 0.3363 , 0.3464 , 0.3521 , mentah
Copy of Tm79.png , 26968.9545 , 29444.0312 , 26141.3636 , 26968.9545 , 105.7606 , 115.4668 , 102.5152 , 105.7606 , 0.5853 , 0.5472 , 0.598 , 0.5853 , 0.5673 , 0.5615 , 0.5685 , 0.5673 , 0.0476 , -0.0364 , 0.0787 , 0.0476 , 0.3218 , 0.3153 , 0.3232 , 0.3218 , mentah
Copy of Tm8.png , 20578.1136 , 25396.9697 , 22771.8864 , 20578.1136 , 80.6985 , 99.596 , 89.3015 , 80.6985 , 0.6835 , 0.6094 , 0.6498 , 0.6835 , 0.628 , 0.6094 , 0.6192 , 0.628 , 0.1872 , 0.0 , 0.0999 , 0.1872 , 0.3943 , 0.3714 , 0.3834 , 0.3943 , mentah
Copy of Tm80.png , 26968.9545 , 29444.0312 , 26141.3636 , 26968.9545 , 105.7606 , 115.4668 , 102.5152 , 105.7606 , 0.5853 , 0.5472 , 0.598 , 0.5853 , 0.5673 , 0.5615 , 0.5685 , 0.5673 , 0.0476 , -0.0364 , 0.0787 , 0.0476 , 0.3218 , 0.3153 , 0.3232 , 0.3218 , mentah
